City,Connection 1,Distance 1,Connection 2,Distance 2,Connection 3,Distance 3,Connection 4,Distance 4,Connection 5,Distance 5,Connection 6,Distance 6,Connection 7,Distance 7,Connection 8,Distance 8,Connection 9,Distance 9
Kutaisi,Tsqaltubo,11.7908965125591,Samtredia,31.07403826851293,Zugdidi,74.22849162821622,Khashuri,79.24994373621406,,,,,,,,,,
Batumi,Poti,56.102651195444736,Samtredia,81.5897772263312,Zugdidi,97.68682075024617,Tsqaltubo,109.5827783756944,Kayseri,615.3742956446946,,,,,,,,
Rustavi,Tbilisi,26.645781560203364,Gori,88.82534871885811,Khashuri,127.38783303794494,Kutaisi,206.6181782566069,Vanadzor,92.643762578528,Ganca,148.38521336434744,,,,,,
Zugdidi,Poti,43.100125569973834,Samtredia,54.79849307467288,Tsqaltubo,63.55010051347845,Kutaisi,74.22849162821622,Rostov,552.3831591046811,,,,,,,,
Gori,Khashuri,42.500518030959924,Tbilisi,63.27479833304432,Rustavi,88.82534871885811,Kutaisi,120.2570988818947,,,,,,,,,,
Poti,Zugdidi,43.100125569973834,Samtredia,55.65795012380797,Batumi,56.102651195444736,Tsqaltubo,79.34450477032952,,,,,,,,,,
Samtredia,Tsqaltubo,28.04149877033482,Kutaisi,31.07403826851293,Zugdidi,54.79849307467288,Poti,55.65795012380797,,,,,,,,,,
Khashuri,Gori,42.500518030959924,Kutaisi,79.24994373621406,Tsqaltubo,90.02123839148312,Tbilisi,103.49290615944594,,,,,,,,,,
Tsqaltubo,Kutaisi,11.7908965125591,Samtredia,28.04149877033482,Zugdidi,63.55010051347845,Poti,79.34450477032952,,,,,,,,,,
Berlin,Hamburg,254.82165274642227,Bremen,315.7884201460339,Dortmund,421.2572936546288,Frankfurt,423.5445522431679,Szczecin,127.09139151428434,,,,,,,,
Hamburg,Bremen,95.11437472757683,Berlin,254.82165274642227,Dortmund,283.6503922521869,Essen,308.7557824264426,Odense,206.77286827126096,,,,,,,,
Munich,Stuttgart,190.39938510857795,Frankfurt,304.00792106702806,Cologne,456.0282418663777,Dortmund,477.3676049287796,Innsbruck,97.60226772100624,,,,,,,,
Cologne,Dusseldorf,35.07249211485856,Essen,57.35280273665035,Dortmund,73.7847415228462,Frankfurt,152.8939343969527,Liege,102.61012576102937,Vianden,123.36800990383018,,,,,,
Frankfurt,Stuttgart,152.53941956454284,Cologne,152.8939343969527,Dortmund,178.14717224573076,Dusseldorf,182.99608375781958,,,,,,,,,,
Stuttgart,Frankfurt,152.53941956454284,Munich,190.39938510857795,Cologne,288.2749094003323,Dusseldorf,322.30533031728015,Strasbourg,107.48494875973488,Winterthur,146.06556064205336,,,,,,
Dusseldorf,Essen,28.977414330610387,Cologne,35.07249211485856,Dortmund,56.94799437471825,Frankfurt,182.99608375781958,,,,,,,,,,
Dortmund,Essen,32.252984037151826,Dusseldorf,56.94799437471825,Cologne,73.7847415228462,Frankfurt,178.14717224573076,,,,,,,,,,
